Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
7.35,9.59,70000,0,3,1,0,1,1
10.50,13.71,18000,0,2,1,0,0,1
4.20,5.99,110000,1,4,1,0,1,1
8.00,10.44,60000,0,3,1,0,1,1
20.00,26.11,60000,0,5,1,0,1,0
6.00,8.56,147000,1,4,1,0,1,1
19.00,27.11,130000,0,5,1,0,1,0
5.00,16.63,99500,2,9,1,0,1,1
2.00,6.65,110000,1,9,1,0,1,1
3.70,5.28,35000,0,4,0,1,1,1
2.60,9.88,110000,1,10,1,0,1,1
2.80,3.99,100000,0,4,1,0,1,1
6.10,11.87,21000,0,6,0,1,1,1
3.00,6.52,60000,1,7,1,0,1,1
1.40,5.32,40000,0,10,1,0,1,1
2.30,11.42,50000,0,12,0,1,1,1
2.00,7.60,65000,1,10,0,1,1,1
2.00,6.65,80000,0,9,0,1,1,1
5.60,18.63,119000,0,5,1,0,1,1
7.50,10.70,80000,0,4,1,0,1,1
5.85,7.64,90000,0,3,1,0,1,1
7.60,10.84,20000,0,4,0,1,1,1
4.30,8.37,80000,1,6,1,0,1,1
4.80,4.80,44665,0,0,1,0,1,1
6.43,6.88,10000,0,1,1,0,1,1
5.00,5.35,60000,0,2,0,1,1,1
4.25,6.06,22000,0,4,0,1,1,1
2.50,4.86,25000,0,6,0,1,1,1
2.85,4.07,70000,0,4,1,0,1,1
1.60,7.94,123000,2,12,0,1,1,1
2.50,8.32,70000,1,9,1,0,1,1
1.70,3.70,70000,1,7,0,1,1,1
4.10,8.91,45000,0,7,1,0,1,1
4.00,8.70,40000,0,5,0,1,1,0
7.00,7.49,30000,0,1,1,0,1,1
3.50,19.86,90000,0,13,0,1,1,0
6.60,9.42,34000,1,4,0,1,1,1
2.68,3.50,25000,0,3,0,1,1,1
2.70,3.85,50000,0,4,0,1,1,1
3.00,6.52,50000,0,7,1,0,1,1
4.50,5.87,90000,0,3,0,1,1,1
2.20,2.87,70000,1,8,1,0,1,1
2.50,10.86,146000,1,11,1,0,1,1
3.00,13.03,85000,1,8,0,1,1,1
0.88,3.82,201850,1,11,1,0,1,1
5.61,8.00,30000,0,4,1,0,1,1
7.55,10.77,15000,0,2,1,0,1,1
2.35,3.07,25000,0,3,0,1,1,1
1.65,5.49,90000,0,9,0,1,1,1
1.90,9.43,80000,1,12,1,0,1,1
1.10,3.66,50000,0,9,1,0,1,1
3.20,10.64,80000,1,8,1,0,1,1
5.40,7.70,38000,0,4,0,1,1,1
1.80,3.91,60000,0,7,0,1,1,1
2.70,3.85,100000,2,4,0,1,1,1
4.50,6.42,30000,0,8,0,1,1,1
4.50,8.76,30000,0,6,0,1,1,1
2.00,3.89,50000,0,5,0,1,1,1
4.25,5.55,42000,0,3,0,1,1,1
4.00,5.71,30000,0,4,0,1,1,1
1.25,5.43,60000,2,11,0,1,1,1
16.00,69.51,14000,0,2,1,0,1,1
9.00,39.10,22000,0,5,0,1,1,1
4.50,19.55,90000,0,8,1,0,1,1
2.10,6.98,46000,0,9,0,1,1,1
8.01,26.64,20000,0,2,0,1,1,1
3.17,6.17,15000,0,6,1,0,1,1
6.00,11.67,40000,1,5,0,1,1,1
3.30,6.42,30000,1,6,0,1,1,1
3.20,4.18,15000,1,3,0,1,1,1
1.20,6.81,110000,1,13,0,1,1,1
1.30,5.65,70000,1,11,0,1,1,1
2.20,9.56,80000,0,5,0,1,1,1
3.40,14.77,110000,0,5,0,1,1,1
2.00,4.35,70000,1,7,1,0,1,1
1.40,15.49,50000,1,18,0,1,1,1
